0,1,1,1,,,1481,1494,1481,1,"100",102,"18","10200","8364","75",,"7650",,
0,10,1,1,,,1481,1494,1481,1,"500",204,"19","102000","82620","375",,"76500",,
0,39,1,1,,,1481,1494,1481,1,"42",408,"18","17136","14051.52","31",,"12852",,
0,44,1,1,,,1481,1494,1481,1,"65",1358,"18","88270","72381.4","48",,"66202",,
0,63,1,1,,,1481,1494,1481,1,"150",1358,"18","203700","167034","112",,"152775",,
1,23,2,2,,,1472,1485,1472,9,"100",162,"18","16200","13284","75",,"12150",,
1,27,2,2,,,1472,1485,1472,9,"500",64,"18","32000","26240","375",,"24000",,
1,34,2,2,,,1472,1485,1472,9,"500",162,"18","81000","66420","375",,"60750",,
1,48,2,2,,,1472,1485,1472,9,"95",430,"18","40850","33497","71",,"30637",,
1,62,2,2,,,1472,1485,1472,9,"130",1078,"18","140140","114914.8","97",,"105105",,
2,2,4,4,,,1470,1483,1470,10,"200",111,"18","22200","18204","150",,"16650",,
2,17,4,4,,,1470,1483,1470,10,"250",88,"18","22000","18040","187",,"16500",,
2,30,4,4,,,1470,1483,1470,10,"700",88,"18","61600","50512","525",,"46200",,
2,32,4,4,,,1470,1483,1470,10,"1300",44,"18","57200","46904","975",,"42900",,
2,44,4,4,,,1470,1483,1470,10,"65",1478,"18","96070","78777.4","48",,"72052",,
3,1,5,5,,,1471,1484,1471,7,"100",112,"18","11200","9184","75",,"8400",,
3,18,5,5,,,1471,1484,1471,7,"300",67,"18","20100","16482","225",,"15075",,
3,28,5,5,,,1471,1484,1471,7,"720",67,"18","48240","39556.8","540",,"36180",,
3,37,5,5,,,1471,1484,1471,7,"480",224,"18","107520","88166.4","360",,"80640",,
3,38,5,5,,,1471,1484,1471,7,"15",448,"18","6720","5510.4","11",,"5040",,
4,9,7,7,,,1463,1476,1463,5,"700",94,"19","65800","53298","525",,"49350",,
4,30,7,7,,,1463,1476,1463,5,"700",37,"18","25900","21238","525",,"19425",,
4,34,7,7,,,1463,1476,1463,5,"500",94,"18","47000","38540","375",,"35250",,
4,52,7,7,,,1463,1476,1463,5,"400",250,"18","100000","82000","300",,"75000",,
4,55,7,7,,,1463,1476,1463,5,"550",250,"18","137500","112750","412",,"103125",,
5,29,9,9,,,1472,1485,1472,4,"1200",18,"18","21600","17712","900",,"16200",,
5,38,9,9,,,1472,1485,1472,4,"15",188,"18","2820","2312.4","11",,"2115",,
5,43,9,9,,,1472,1485,1472,4,"75",626,"18","46950","38499","56",,"35212",,
5,53,9,9,,,1472,1485,1472,4,"450",250,"18","112500","92250","337",,"84375",,
5,55,9,9,,,1472,1485,1472,4,"550",250,"18","137500","112750","412",,"103125",,
6,12,11,11,,,1479,1492,1479,1,"200",76,"19","15200","12312","150",,"11400",,
6,22,11,11,,,1479,1492,1479,1,"1900",22,"18","41800","34276","1425",,"31350",,
6,40,11,11,,,1479,1492,1479,1,"80",506,"18","40480","33193.6","60",,"30360",,
6,54,11,11,,,1479,1492,1479,1,"500",202,"18","101000","82820","375",,"75750",,
6,60,11,11,,,1479,1492,1479,1,"115",506,"18","58190","47715.8","86",,"43642",,
7,4,12,12,,,1473,1486,1473,1,"20",55,"18","1100","902","15",,"825",,
7,6,12,12,,,1473,1486,1473,1,"500",66,"18","33000","27060","375",,"24750",,
7,22,12,12,,,1473,1486,1473,1,"1900",33,"18","62700","51414","1425",,"47025",,
7,23,12,12,,,1473,1486,1473,1,"100",110,"18","11000","9020","75",,"8250",,
7,45,12,12,,,1473,1486,1473,1,"68",732,"18","49776","40816.32","51",,"37332",,
8,2,13,13,,,1464,1477,1464,11,"200",45,"18","9000","7380","150",,"6750",,
8,6,13,13,,,1464,1477,1464,11,"500",54,"18","27000","22140","375",,"20250",,
